character,featureID#0,featureID#1,featureID#2,featureID#3,featureID#4,featureID#5,featureID#6,featureID#7,featureID#8,featureID#9,featureID#10,featureID#11,featureID#12,featureID#13,featureID#14,featureID#15,featureID#16,featureID#17,featureID#18,featureID#19
e,50.41063309,33.16606903,40.27310944,48.47737122,29.08182526,55.27580261,54.05807495,46.08947754,21.0507946,55.05349731,53.91688919,44.39561844,22.04429436,51.24144745,50.23775101,41.53936768,32.47583771,49.5663414,47.38134384,39.83312988
e,53.97072601,33.89905548,43.29076767,54.49155045,31.13562584,60.27436829,61.51629257,54.70088959,22.53743553,60.38733292,63.02759933,55.87763596,23.60109329,55.43943024,58.07139206,52.27891159,34.76932907,52.91356659,52.73639679,47.42856216
e,53.21647263,32.25850677,40.49203491,50.17553329,30.70050621,56.77743149,56.34379578,49.74999619,22.22247696,56.33666992,56.92019272,49.67383194,23.27127266,50.99487686,52.00559616,46.27998734,34.28342819,49.00418091,47.85705948,42.97984695
e,51.52081299,34.4498291,43.50850296,53.57259369,29.7222805,54.7268219,55.06314468,49.03379822,21.51438904,54.31250763,56.93447876,51.21955872,22.52976608,50.30228043,53.45376205,48.31937027,33.19104004,48.46338654,48.51071167,43.82009888
f,51.20146179,42.81674957,53.18359375,60.98353577,29.53804016,59.29354095,61.9769249,57.92449951,21.38103104,61.45110321,84.39172363,98.70717621,22.39011574,56.01880646,78.14355469,92.73777771,32.98530579,54.45706558,68.58738708,81.14196014
f,56.20504379,49.32660294,58.65011597,63.60466003,32.42460632,58.11448288,57.43693924,51.73230743,23.47045898,67.1881485,91.77255249,107.0445557,24.5781517,61.50666046,85.43527222,101.1862869,36.20874023,59.92518234,75.45240784,89.28942108
f,54.92054749,42.25464249,43.04891205,47.63336182,31.68358231,54.92354965,64.90100098,69.78904724,22.93407249,61.36848831,84.68121338,99.78259277,24.01645279,59.16388321,82.17713928,97.78929138,35.38123703,58.75456238,73.47335815,86.75936127
f,52.50466537,41.84327698,55.47326279,66.38846588,30.28986168,61.65125275,67.87062073,66.55670166,21.92523003,61.96115875,85.09552002,99.91477966,22.95999718,55.61151505,77.62557983,92.39806366,33.8248558,53.80362701,67.57182312,80.14304352
g,52.50465775,33.90860367,44.31917953,57.70967484,30.28985786,59.84964752,75.72384644,86.58207703,21.92522812,49.92824173,48.98690796,43.43027878,22.95999908,44.10351181,42.78606415,37.91494751,33.82485962,44.96892166,42.68047333,37.22518158
g,53.36008072,36.37926865,48.06745148,62.89077377,30.78334808,59.88430786,75.01455688,85.30348969,22.28244019,47.53327942,42.81918335,36.04437256,23.33407211,41.54656601,38.26026917,33.92941666,34.37594223,41.32442093,37.33276367,32.99925232
g,53.36008835,39.11585617,53.76914215,69.18988037,30.78334999,62.43793106,76.05496979,83.15485382,22.28244209,50.55732346,45.6543045,36.8959465,23.3340683,40.77389145,37.99798203,34.20700073,34.37594986,40.08443451,37.44166183,35.19652557
g,49.95270157,37.0044632,49.65377426,63.58465576,28.81764793,55.24528122,66.54304504,73.1488266,20.85957336,43.9549942,42.50733185,37.70877838,21.84404182,37.57070541,35.85660934,32.15750122,32.18082428,37.60186005,34.50455856,30.94635773
h,52.35567856,32.2077179,42.20280838,55.46463013,30.20391464,60.35718536,79.49923706,93.21915436,21.86301613,62.17308044,85.90753174,101.4949722,22.89484787,48.9563179,48.78121185,42.99704742,33.72888184,45.83594894,43.97480774,39.30321121
h,52.35567856,32.70622635,42.76356125,55.72137833,30.20391083,60.76104736,79.97627258,93.71152496,21.86301422,62.24550629,85.97297668,101.5675278,22.89484215,50.81441879,49.9128685,43.24945831,33.72887802,47.79393005,45.69465637,40.24015045
h,52.58224106,33.17249298,42.62996292,55.14514923,30.33462143,60.26479721,79.21648407,92.80877686,21.95763397,61.90658569,85.28179169,100.5882797,22.993927,48.60684967,48.02247238,42.32764053,33.87483978,46.34117508,43.70436096,38.43671417
h,52.58224487,32.31611252,41.63140488,54.50484848,30.33461571,59.36193848,78.09848785,91.59726715,21.95762444,61.85435486,85.12502289,100.3730545,22.99392128,47.86129379,47.15741348,41.66093445,33.87483978,45.60147095,43.01659393,38.0757103
i,52.84574127,35.60312653,44.13784027,53.67420959,30.48662758,52.72524643,48.57437134,41.21427917,22.06766319,51.22604752,49.18300629,42.45009995,23.10914803,46.88270187,44.74927139,38.82346725,34.04459,57.08777618,71.00254059,83.42728424
i,52.69939423,35.17309952,43.28728104,51.92206192,30.4022007,53.23618317,49.31419754,41.82196426,22.00654793,51.5227356,50.00744629,43.8057251,23.04515076,47.82637787,46.15799713,40.52579117,33.95030975,57.6380806,72.01914978,84.67373657
i,51.34518051,40.79989624,47.05712891,52.16578674,29.62095261,50.05931854,47.65399551,41.47499847,21.44104195,47.91920853,46.9133606,41.07299423,22.45295906,44.58338547,43.88056946,38.84164429,33.07788467,53.88324738,66.62731171,78.10775757
i,52.10181808,36.40466309,44.25268555,52.76903152,30.05746078,52.48097229,50.46835709,44.1157608,21.75700951,50.89874649,50.85735703,44.68273926,22.78384018,47.36028671,46.82904816,41.43605042,33.56533813,55.54000092,68.73207855,80.21622467
